"","","cofip_sub","cofip_nbr_nbr"
"719",1999,18135,39113
"720",1999,18135,39149
"721",1999,21015,39165
"722",1999,21117,39165
"723",1999,21135,39079
"724",1999,21135,39131
"725",1999,21135,39071
"726",1999,5033,40021
"727",1999,5033,40061
"728",1999,5033,40101
"729",1999,20191,40047
"730",1999,20191,40103
"731",1999,5127,40061
"732",1999,5127,40077
"733",1999,5127,40127
"734",1999,20007,40047
"735",1999,20007,40093
"736",1999,20007,40153
"737",1999,20025,40153
"738",1999,20099,40097
"739",1999,20099,40131
"740",1999,20077,40047
"741",1999,20077,40093
"742",1999,20125,40131
"743",1999,20125,40143
"744",1999,20035,40103
"745",1999,20035,40117
"746",1999,20035,40143
"747",1999,20035,40047
"748",1999,35059,48341
"749",1999,5113,40061
"750",1999,5113,40077
"751",1999,5113,40127
"752",1999,5081,40127
"753",1999,5081,48343
"754",1999,5133,40127
"755",1999,20033,40153
"756",1999,20033,40093
"757",1999,5131,40021
"758",1999,5131,40061
"759",1999,5131,40101
"760",1999,5131,40077
"761",1999,5131,40127
"762",1999,29119,40021
"763",1999,29119,40097
"764",1999,20019,40103
"765",1999,20019,40117
"766",1999,20019,40143
"767",1999,20019,40131
"768",1999,5143,40021
"769",1999,32031,41017
"770",1999,32031,41013
"771",1999,32031,41023
"772",1999,6093,41017
"773",1999,6093,41019
"774",1999,6093,41039
"775",1999,6015,41019
"776",1999,6015,41011
"777",1999,16087,41023
"778",1999,16087,41061
"779",1999,32013,41013
"780",1999,32013,41017
"781",1999,32013,41023
"782",1999,16003,41061
"783",1999,16003,41023
"784",1999,16069,41061
"785",1999,16069,53001
"786",1999,16069,53021
"787",1999,16069,53043
"788",1999,16075,41023
"789",1999,16027,41023
"790",1999,34041,42077
"791",1999,34041,42091
"792",1999,34041,42025
"793",1999,34041,42069
"794",1999,34041,42079
"795",1999,24021,42041
"796",1999,24021,42061
"797",1999,24021,42067
"798",1999,24021,42099
"799",1999,24021,51061
"800",1999,24021,51153
"801",1999,36025,42069
"802",1999,24025,42011
"803",1999,24025,42043
"804",1999,24025,42075
"805",1999,24025,42041
"806",1999,24001,42013
"807",1999,24001,42021
"808",1999,24001,42061
"809",1999,24001,42129
"810",1999,34015,42091
"811",1999,36007,42069
"812",1999,36007,42131
"813",1999,36107,42069
"814",1999,36107,42131
"815",1999,36107,42081
"816",1999,36107,42113
"817",1999,24013,42041
"818",1999,24013,42043
"819",1999,36105,42069
"820",1999,39007,42121
"821",1999,36013,42047
"822",1999,36013,42053
"823",1999,36013,42121
"824",1999,36015,42081
"825",1999,36015,42113
"826",1999,36015,42131
"827",1999,39099,42019
"828",1999,39099,42121
"829",1999,39029,42003
"830",1999,39029,42019
"831",1999,24015,42011
"832",1999,24015,42091
"833",1999,24015,42043
"834",1999,24015,42075
"835",1999,24023,42021
"836",1999,24023,42129
"837",1999,24023,54001
"838",1999,24023,54091
"839",1999,24023,54093
"840",1999,24023,54083
"841",1999,36003,42023
"842",1999,36003,42047
