"","cofip_sub","cofip_nbr_nbr","id"
"948",18033,39137,1803339137
"949",21019,39079,2101939079
"950",21019,54043,2101954043
"951",21037,39165,2103739165
"952",21037,39027,2103739027
"954",18161,39113,1816139113
"955",18161,39165,1816139165
"957",18047,39165,1804739165
"958",18047,39113,1804739113
"960",21023,39027,2102339027
"961",21023,39165,2102339165
"963",21023,39071,2102339071
"964",18003,39137,1800339137
"965",18003,39069,1800339069
"967",18003,39003,1800339003
"968",18003,39011,1800339011
"970",18135,39109,1813539109
"971",18135,39113,1813539113
"972",18135,39149,1813539149
"973",21015,39165,2101539165
"974",21117,39165,2111739165
"975",21135,39079,2113539079
"976",21135,39131,2113539131
"977",21135,39071,2113539071
"979",5033,40021,503340021
"980",5033,40061,503340061
"981",5033,40101,503340101
"983",20191,40047,2019140047
"985",20191,40103,2019140103
"986",5127,40061,512740061
"987",5127,40077,512740077
"988",5127,40127,512740127
"989",20007,40047,2000740047
"990",20007,40093,2000740093
"992",20007,40153,2000740153
"993",20025,40153,2002540153
"994",20099,40097,2009940097
"995",20099,40131,2009940131
"997",20077,40047,2007740047
"998",20077,40093,2007740093
"1000",20125,40131,2012540131
"1002",20125,40143,2012540143
"1003",20035,40103,2003540103
"1004",20035,40117,2003540117
"1005",20035,40143,2003540143
"1006",20035,40047,2003540047
"1008",35059,48341,3505948341
"1010",5113,40061,511340061
"1011",5113,40077,511340077
"1012",5113,40127,511340127
"1014",5081,40127,508140127
"1015",5081,48343,508148343
"1016",5133,40127,513340127
"1017",20033,40153,2003340153
"1018",20033,40093,2003340093
"1020",5131,40021,513140021
"1021",5131,40061,513140061
"1022",5131,40101,513140101
"1024",5131,40077,513140077
"1025",5131,40127,513140127
"1026",29119,40021,2911940021
"1027",29119,40097,2911940097
"1028",20019,40103,2001940103
"1029",20019,40117,2001940117
"1030",20019,40143,2001940143
"1031",20019,40131,2001940131
"1033",5143,40021,514340021
"1034",32031,41017,3203141017
"1035",32031,41013,3203141013
"1037",32031,41023,3203141023
"1038",6093,41017,609341017
"1039",6093,41019,609341019
"1040",6093,41039,609341039
"1043",6015,41019,601541019
"1044",6015,41011,601541011
"1046",16087,41023,1608741023
"1048",16087,41061,1608741061
"1049",32013,41013,3201341013
"1050",32013,41017,3201341017
"1051",32013,41023,3201341023
"1053",16003,41061,1600341061
"1054",16003,41023,1600341023
"1056",16069,41061,1606941061
"1057",16069,53001,1606953001
"1058",16069,53021,1606953021
"1059",16069,53043,1606953043
"1060",16075,41023,1607541023
"1061",16027,41023,1602741023
"1062",34041,42077,3404142077
"1063",34041,42091,3404142091
"1064",34041,42025,3404142025
"1065",34041,42069,3404142069
"1066",34041,42079,3404142079
"1069",24021,42041,2402142041
"1071",24021,42061,2402142061
"1072",24021,42067,2402142067
"1073",24021,42099,2402142099
"1074",24021,51061,2402151061
"1075",24021,51153,2402151153
"1076",36025,42069,3602542069
"1077",24025,42011,2402542011
"1078",24025,42043,2402542043
"1079",24025,42075,2402542075
"1080",24025,42041,2402542041
"1082",24001,42013,2400142013
"1083",24001,42021,2400142021
"1084",24001,42061,2400142061
"1086",24001,42129,2400142129
"1088",34015,42091,3401542091
"1090",36007,42069,3600742069
"1091",36007,42131,3600742131
"1093",36107,42069,3610742069
"1094",36107,42131,3610742131
"1095",36107,42081,3610742081
"1096",36107,42113,3610742113
"1098",24013,42041,2401342041
"1099",24013,42043,2401342043
"1101",36105,42069,3610542069
"1102",39007,42121,3900742121
"1103",36013,42047,3601342047
"1104",36013,42053,3601342053
"1105",36013,42121,3601342121
"1106",36015,42081,3601542081
"1107",36015,42113,3601542113
"1108",36015,42131,3601542131
"1110",39099,42019,3909942019
"1112",39099,42121,3909942121
"1113",39029,42003,3902942003
"1114",39029,42019,3902942019
"1116",24015,42011,2401542011
"1117",24015,42091,2401542091
"1119",24015,42043,2401542043
"1120",24015,42075,2401542075
"1121",24023,42021,2402342021
"1122",24023,42129,2402342129
"1124",24023,54001,2402354001
"1125",24023,54091,2402354091
"1126",24023,54093,2402354093
"1127",24023,54083,2402354083
"1129",36003,42023,3600342023
"1130",36003,42047,3600342047
"1132",36003,42035,3600342035
"1133",36003,42081,3600342081
"1134",24043,42061,2404342061
"1135",24043,42041,2404342041
"1137",24043,42067,2404342067
"1138",24043,42099,2404342099
"1139",24043,51061,2404351061
"1140",24043,51153,2404351153
"1141",36009,42047,3600942047
"1142",36009,42053,3600942053
"1143",36009,42121,3600942121
"1144",36009,42023,3600942023
"1146",34021,42077,3402142077
"1147",34021,42091,3402142091
"1148",39155,42019,3915542019
"1149",39155,42121,3915542121
"1151",34019,42077,3401942077
"1152",34019,42091,3401942091
"1153",24005,42041,2400542041
"1154",24005,42043,2400542043
"1155",34005,42091,3400542091
"1156",34005,42077,3400542077
"1158",36101,42081,3610142081
"1159",36101,42023,3610142023
"1160",36101,42035,3610142035
"1162",34007,42091,3400742091
"1163",9011,36103,901136103
"1164",37161,45087,3716145087
"1165",37161,45059,3716145059
"1167",37155,45041,3715545041
"1168",37155,45067,3715545067
"1169",37155,45031,3715545031
"1171",37155,45043,3715545043
"1173",37089,45059,3708945059
"1174",37175,45059,3717545059
"1175",13033,45063,1303345063
"1176",13033,45075,1303345075
"1177",13033,45081,1303345081
"1178",13033,45009,1303345009
"1179",13033,45029,1303345029
"1182",13051,45013,1305145013
"1183",37153,45031,3715345031
"1184",37153,45041,3715345041
"1186",37153,45055,3715345055
"1187",37045,45087,3704545087
"1188",37045,45023,3704545023
"1190",37149,45059,3714945059
"1191",37149,45087,3714945087
"1193",37179,45023,3717945023
"1194",37179,45039,3717945039
"1195",37179,45055,3717945055
"1196",37179,45031,3717945031
"1198",13181,45047,1318145047
"1199",13251,45009,1325145009
"1200",13251,45029,1325145029
"1202",13251,45013,1325145013
"1204",13073,45047,1307345047
"1205",13073,45081,1307345081
"1207",13147,45059,1314745059
"1208",37119,45023,3711945023
"1209",37119,45087,3711945087
"1211",37119,45039,3711945039
"1212",37119,45055,3711945055
"1213",13103,45013,1310345013
"1214",13103,45009,1310345009
