cofip_nbr,mean_temp_jan_nbr,mean_sunlight_jan_nbr,mean_sunlight_july_nbr,mean_humidity_july_nbr,top_code_nbr,pct_water_nbr,ln_pct_water_nbr,jan_tmp_z_nbr,jan_sun_z_nbr,jul_temp_z_nbr,jul_hum_z_nbr,top_z_nbr,pct_water_z_nbr,amen_scale_nbr
5061,41.9,153,80.8,62,15,1.31,4.872,0.74778,0.04493,-0.55201,-0.41119,0.92868,0.22773,0.99
5063,37.5,141,79.2,61,14,1.01,4.615,0.38379,-0.31638,-0.50078,-0.34273,0.77701,0.0917,0.09
5065,36.8,150,79,51,19,0.57,4.04,0.32588,-0.0454,-0.50729,0.34184,1.53535,-0.21234,1.44
5067,40.2,141,81.2,61,1,1.23,4.816,0.60715,-0.31638,-0.80598,-0.34273,-1.19466,0.19823,-1.85
5069,44.2,140,83,66,4,3.17,5.759,0.93805,-0.34649,-0.94544,-0.68502,-0.73966,0.69728,-1.08
5071,40.5,150,81.7,51,20,3.01,5.708,0.63196,-0.0454,-0.91458,0.34184,1.68702,0.67045,2.37
5073,42.2,153,81.4,62,2,3.41,5.831,0.7726,0.04493,-0.6875,-0.41119,-1.043,0.7355,-0.59
5075,37.9,141,80.1,61,14,0.98,4.581,0.41688,-0.31638,-0.70832,-0.34273,0.77701,0.07366,-0.1
5077,40.8,146,80.4,60,4,2.87,5.661,0.65678,-0.16583,-0.5392,-0.27427,-0.73966,0.64537,-0.42
5079,43.7,140,82.3,66,4,1.92,5.256,0.89669,-0.34649,-0.80029,-0.68502,-0.73966,0.43118,-1.24
5081,45.2,153,82.4,62,2,5.87,6.374,1.02078,0.04493,-0.69798,-0.41119,-1.043,1.02322,-0.06
5083,40.5,150,81.7,51,16,2.96,5.689,0.63196,-0.0454,-0.91458,0.34184,1.08035,0.66052,1.75
5085,42.8,146,82.3,60,1,4.61,6.133,0.82223,-0.16583,-0.87781,-0.27427,-1.19466,0.89542,-0.79
5087,37.1,150,78.6,57,20,0.02,0.708,0.3507,-0.0454,-0.3739,-0.0689,1.68702,-1.97604,-0.43
5089,36.8,150,79,51,19,6.66,6.501,0.32588,-0.0454,-0.50729,0.34184,1.53535,1.09038,2.74
5091,45.2,153,82.4,62,4,2.11,5.352,1.02078,0.04493,-0.69798,-0.41119,-0.73966,0.48185,-0.3
5093,38.9,141,81.3,61,1,2.34,5.453,0.4996,-0.31638,-0.94484,-0.34273,-1.19466,0.53563,-1.76
5095,40.8,146,81,60,1,2.37,5.469,0.65678,-0.16583,-0.70053,-0.27427,-1.19466,0.54385,-1.13
5097,40.5,153,79.9,62,15,2.42,5.489,0.63196,0.04493,-0.4306,-0.41119,0.92868,0.55454,1.32
5099,43.3,153,82.5,62,4,0.13,2.581,0.8636,0.04493,-0.88852,-0.41119,-0.73966,-0.98489,-2.12
5101,37.2,150,78.5,57,20,0.03,0.936,0.35897,-0.0454,-0.3384,-0.0689,1.68702,-1.85533,-0.26
5103,43.7,153,82.1,62,4,0.97,4.575,0.89669,0.04493,-0.74652,-0.41119,-0.73966,0.07091,-0.88
5105,41,143,80.8,61,16,1.7,5.138,0.67333,-0.25616,-0.62953,-0.34273,1.08035,0.36874,0.89
5107,41.6,146,81.2,60,1,4.76,6.165,0.72296,-0.16583,-0.6854,-0.27427,-1.19466,0.91256,-0.68
5109,40.5,153,79.9,62,15,1.77,5.176,0.63196,0.04493,-0.4306,-0.41119,0.92868,0.38908,1.15
5111,38.6,141,80.7,61,1,0.74,4.304,0.47479,-0.31638,-0.80935,-0.34273,-1.19466,-0.07266,-2.26
5113,41.2,150,79.9,51,15,0.35,3.556,0.68987,-0.0454,-0.37031,0.34184,0.92868,-0.4688,1.08
5115,40.6,150,81.5,51,20,2.27,5.427,0.64024,-0.0454,-0.85219,0.34184,1.68702,0.52146,2.29
5117,41.1,146,81.4,60,1,4.41,6.089,0.6816,-0.16583,-0.78224,-0.27427,-1.19466,0.87227,-0.86
5119,39.5,143,81.4,61,15,4.57,6.126,0.54924,-0.25616,-0.92005,-0.34273,0.92868,0.89157,0.85
5121,37.9,141,80.1,61,14,0.64,4.162,0.41688,-0.31638,-0.70832,-0.34273,0.77701,-0.14817,-0.32
5123,40.8,146,80.4,60,1,1.33,4.892,0.65678,-0.16583,-0.5392,-0.27427,-1.19466,0.23859,-1.28
5125,40.5,143,79.9,61,15,0.79,4.364,0.63196,-0.25616,-0.4306,-0.34273,0.92868,-0.04095,0.49
5127,40.8,150,81,51,16,0.47,3.847,0.65678,-0.0454,-0.70053,0.34184,1.08035,-0.31441,1.02
5129,37.3,150,78.5,51,20,0.2,3.013,0.36724,-0.0454,-0.32979,0.34184,1.68702,-0.75628,1.26
5131,39,150,82.2,51,16,1.78,5.18,0.50788,-0.0454,-1.17822,0.34184,1.08035,0.39081,1.1
5133,42.9,153,81,62,4,2.99,5.702,0.83051,0.04493,-0.51965,-0.41119,-0.73966,0.66726,-0.13
5135,36.6,150,78.5,51,14,0.33,3.491,0.30933,-0.0454,-0.39008,0.34184,0.77701,-0.50313,0.49
5137,37.3,150,78.5,51,19,0.47,3.842,0.36724,-0.0454,-0.32979,0.34184,1.53535,-0.31754,1.55
5139,44.5,153,82.1,62,4,1.55,5.044,0.96287,0.04493,-0.67761,-0.41119,-0.73966,0.31905,-0.5
5141,37.3,150,78.5,51,20,1.77,5.174,0.36724,-0.0454,-0.32979,0.34184,1.68702,0.38804,2.41
5143,37.1,150,78.6,57,19,0.61,4.111,0.3507,-0.0454,-0.3739,-0.0689,1.53535,-0.17516,1.22
5145,40.7,141,81.4,61,9,0.79,4.375,0.64851,-0.31638,-0.81669,-0.34273,0.01867,-0.03523,-0.84
5147,40.8,146,81,60,1,1.26,4.837,0.65678,-0.16583,-0.70053,-0.27427,-1.19466,0.20933,-1.47
5149,40.8,150,81.8,51,16,2.21,5.4,0.65678,-0.0454,-0.91563,0.34184,1.08035,0.50718,1.63
6001,45.6,171,71.3,74,16,10.2,6.927,1.05387,0.58689,2.32103,-1.23267,1.08035,1.31595,5.13
6003,32.8,200,69.3,19,21,0.61,4.119,-0.00502,1.46005,1.75632,2.53247,1.83868,-0.17076,7.41
6005,45.8,185,77.4,22,20,1.94,5.266,1.07041,1.00842,0.69809,2.32709,1.68702,0.43644,7.23
6007,45.2,137,78.3,28,20,2.24,5.413,1.02078,-0.43682,0.40442,1.91635,1.68702,0.51428,5.11
6009,36.8,185,67.5,22,20,1.61,5.084,0.32588,1.00842,2.58482,2.32709,1.68702,0.34021,8.27
6011,44.7,137,77.8,28,20,0.48,3.871,0.97941,-0.43682,0.4958,1.91635,1.68702,-0.30188,4.34
6013,49.3,171,61.6,74,16,10.21,6.928,1.35995,0.58689,5.24785,-1.23267,1.08035,1.31645,8.36
6015,46.8,168,58.3,60,21,18.05,7.498,1.15314,0.49656,5.91982,-0.27427,1.83868,1.61805,10.75
