FIPS Code,Rural-urban_continuum,urban_influence,mean_temp_jan,mean_sunlight_jan,mean_sunlight_july,mean_humidity_july,top_code,pct_water,ln_pct_water,jan_tmp_z,jan_sun_z,jul_temp_z,jul_hum_z,top_z,pct_water_z,amen_scale
08053,9 ,9 ,12.7 ,223 ,56.1 ,37 ,21 ,0.49 ,3.884 ,-1.66781 ,2.15256 ,3.57429 ,1.30024 ,1.83868 ,-0.29516,6.90 
08055,6 ,6 ,33.5 ,223 ,71.4 ,35 ,17 ,0.15 ,2.700 ,0.05289 ,2.15256 ,1.25196 ,1.43715 ,1.23201 ,-0.922,5.20 
08057,9 ,9 ,15.4 ,214 ,58.7 ,36 ,21 ,0.48 ,3.866 ,-1.44445 ,1.88158 ,3.10776 ,1.36870 ,1.83868 ,-0.30464,6.45 
08059,0 ,1 ,31.9 ,214 ,73.1 ,36 ,21 ,0.77 ,4.340 ,-0.07948 ,1.88158 ,0.65706 ,1.36870 ,1.83868 ,-0.05364,5.61 
08061,9 ,9 ,29.9 ,223 ,76.5 ,35 ,5 ,0.83 ,4.415 ,-0.24493 ,2.15256 ,-0.42940 ,1.43715 ,-0.58800 ,-0.0142,2.31 
08063,7 ,8 ,29.7 ,211 ,74.9 ,42 ,4 ,0.03 ,1.161 ,-0.26147 ,1.79125 ,-0.01642 ,0.95795 ,-0.73966 ,-1.73666,-0.01 
08065,7 ,8 ,18.1 ,223 ,56.6 ,35 ,21 ,1.83 ,5.207 ,-1.22109 ,2.15256 ,3.90496 ,1.43715 ,1.83868 ,0.40536,8.52 
08067,7 ,7 ,25.9 ,180 ,67.5 ,21 ,21 ,0.46 ,3.818 ,-0.57583 ,0.85787 ,1.64600 ,2.39555 ,1.83868 ,-0.32983,5.83 
08069,3 ,2 ,26.8 ,214 ,70.8 ,36 ,21 ,1.24 ,4.817 ,-0.50138 ,1.88158 ,0.83621 ,1.36870 ,1.83868 ,0.19889,5.62 
08071,7 ,8 ,31.0 ,223 ,73.4 ,35 ,16 ,0.06 ,1.761 ,-0.15393 ,2.15256 ,0.49887 ,1.43715 ,1.08035 ,-1.4186,3.60 
08073,8 ,6 ,27.7 ,223 ,71.4 ,35 ,5 ,0.01 ,0.148 ,-0.42692 ,2.15256 ,0.75240 ,1.43715 ,-0.58800 ,-2.27254,1.05 
08075,7 ,7 ,24.7 ,214 ,73.5 ,36 ,4 ,0.34 ,3.535 ,-0.67510 ,1.88158 ,-0.07064 ,1.36870 ,-0.73966 ,-0.47958,1.29 
