year,cofip_sub,cofip_nbr
1999,21141,47147
1999,37087,47029
1999,21053,47137
1999,37039,47139
1999,37121,47171
1999,21047,47161
1999,21003,47111
1999,21235,47025
1999,13083,47065
1999,28093,47047
1999,21235,47013
1999,21105,47131
1999,1077,47099
1999,21053,47027
1999,29155,47095
1999,13083,47115
1999,13213,47011
1999,1083,47055
1999,21057,47027
1999,28093,47157
1999,13111,47139
1999,21083,47183
1999,21003,47165
1999,13213,47139
1999,21075,47095
1999,21013,47025
1999,13313,47065
1999,21213,47147
1999,29155,47045
1999,5093,47045
1999,21219,47147
1999,21213,47165
1999,1077,47055
1999,13295,47065
1999,13313,47011
1999,1077,47071
1999,37121,47019
1999,37115,47059
1999,5035,47157
1999,29143,47095
1999,28139,47069
1999,28009,47069
1999,21231,47151
1999,1089,47051
1999,37189,47091
1999,28009,47047
1999,21231,47137
1999,21221,47161
1999,21035,47079
1999,21147,47151
1999,37173,47155
1999,1071,47115
1999,37075,47009
1999,13047,47065
1999,21171,47027
1999,5093,47167
1999,37087,47155
1999,40025,48111
1999,40023,48387
1999,35015,48301
1999,35037,48117
1999,40009,48483
1999,40129,48483
1999,35059,48111
1999,40139,48357
1999,40139,48421
1999,22019,48351
1999,40007,48357
1999,35037,48359
1999,35025,48003
1999,35015,48109
1999,40045,48295
1999,35037,48205
1999,35035,48109
1999,22017,48365
1999,40033,48485
1999,22085,48403
1999,22031,48365
1999,35015,48389
1999,5091,48037
1999,22085,48419
1999,35059,48205
1999,35009,48117
1999,5091,48067
1999,40057,48075
1999,35041,48079
1999,35041,48017
1999,40023,48277
1999,40085,48337
1999,40139,48195
1999,40095,48181
1999,40089,48037
1999,40141,48487
1999,40057,48197
1999,40085,48097
1999,22031,48419
1999,35035,48229
1999,40013,48181
1999,40085,48181
1999,22085,48351
1999,22115,48351
1999,35025,48501
1999,40067,48337
1999,22017,48067
1999,40089,48387
1999,22023,48245
1999,22019,48361
1999,22017,48203
1999,35025,48495
1999,40007,48295
1999,35025,48079
1999,22023,48361
1999,35009,48017
1999,40129,48211
1999,40057,48087
1999,35035,48141
1999,40013,48277
1999,40045,48211
1999,40141,48485
1999,35009,48369
1999,40065,48197
1999,40009,48087
1999,40033,48077
1999,40067,48077
1999,5081,48037
1999,35025,48165
1999,35025,48301
1999,40013,48147
1999,40025,48421
1999,22017,48315
1999,40065,48487
1999,35013,48141
1999,22011,48351
1999,8085,49037
1999,8033,49037
1999,32017,49021
1999,8085,49019
1999,8077,49037
1999,16041,49033
1999,8113,49037
1999,32017,49053
1999,32033,49023
1999,4005,49025
1999,16007,49005
1999,8077,49019
1999,8081,49047
1999,8081,49009
1999,8045,49047
1999,32017,49001
1999,16071,49005
1999,35045,49037
1999,4017,49037
1999,32033,49027
1999,16071,49003
1999,8083,49037
1999,8103,49047
1999,8045,49019
1999,16031,49003
1999,4001,49037
1999,32017,49027
1999,32033,49045
1999,16041,49005
1999,32007,49045
1999,16007,49033
1999,4015,49053
1999,4005,49037
1999,32007,49003
1999,4015,49025
1999,33009,50017
1999,25003,50003
1999,36115,50021
1999,25011,50003
1999,33019,50025
1999,36115,50003
1999,33005,50025
1999,25011,50025
1999,36031,50007
1999,36115,50001
1999,36019,50013
1999,36083,50003
1999,33007,50009
1999,36031,50001
1999,36019,50007
1999,33009,50009
1999,33009,50027
1999,33019,50027
1999,33009,50005
1999,47067,51105
1999,37033,51590
1999,37145,51083
1999,47163,51169
1999,37009,51077
1999,37185,51025
1999,47091,51191
1999,24017,51059
1999,37073,51175
1999,21195,51195
1999,37053,51810
1999,37171,51077
1999,47073,51169
1999,37185,51117
1999,37073,51800
1999,37169,51141
1999,37029,51550
1999,37157,51089
1999,37091,51175
1999,37033,51143
1999,24031,51013
1999,37169,51089
1999,24021,51107
1999,37033,51083
1999,24031,51107
1999,37077,51117
1999,37157,51143
1999,21095,51105
1999,47025,51105
1999,37171,51035
1999,24039,51001
1999,24033,51059
1999,37131,51081
1999,47163,51520
1999,47067,51169
1999,37131,51025
1999,37077,51083
1999,37005,51077
1999,37181,51117
1999,24043,51107
1999,21013,51105
1999,24031,51059
1999,21133,51195
1999,37171,51141
1999,24039,51001
1999,37053,51550
1999,21095,51195
1999,47163,51191
1999,24033,51510
1999,47091,51077
1999,24047,51001
1999,21195,51051
1999,37131,51175
1999,21195,51027
1999,37029,51800
1999,41049,53005
1999,41009,53069
1999,41051,53059
1999,41009,53011
1999,41009,53015
1999,16021,53051
1999,16069,53075
1999,41007,53069
1999,41055,53039
1999,16057,53075
1999,16017,53063
1999,41063,53013
1999,16055,53063
1999,41059,53005
1999,41065,53039
1999,16069,53003
1999,41049,53039
1999,41063,53023
1999,41027,53039
1999,41063,53003
